t,Ca,T,SP,u,reward,cum_reward
70,-5.666666103753572,30.33478936848702,1.0000004768373292,295.83442046732455,-0.8099999195390342,-53.222493298106926
71,-5.666666103753572,30.334789368486845,1.0000004768373292,295.83442046732455,-0.8099999195390342,-54.03249321764596
72,-5.666666103753572,30.334789368486764,1.0000004768373292,295.83442046732455,-0.8099999195390342,-54.84249313718499
73,-5.666666103753572,30.334789368486717,1.0000004768373292,295.83442046732455,-0.8099999195390342,-55.65249305672402
74,-5.666666103753572,30.33478936848669,1.0000004768373292,295.83442046732455,-0.8099999195390342,-56.46249297626305
75,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-57.27249289580208
76,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-58.08249281534111
77,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-58.89249273488014
78,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-59.702492654419174
79,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-60.512492573958205
80,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-61.322492493497236
81,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-62.13249241303627
82,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-62.9424923325753
83,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-63.75249225211433
84,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-64.56249217165336
85,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-65.3724920911924
86,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-66.18249201073144
87,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-66.99249193027048
88,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-67.80249184980951
89,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-68.61249176934855
90,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-69.42249168888759
91,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-70.23249160842663
92,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-71.04249152796567
93,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-71.8524914475047
94,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-72.66249136704374
95,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-73.47249128658278
96,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-74.28249120612182
97,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-75.09249112566086
98,-5.666666103753572,30.33478936848667,1.0000004768373292,295.83442046732455,-0.8099999195390342,-75.9024910451999
